iter	Passed	Remaining
404	8006	5831
405	8025	5811
406	8041	5788
407	8057	5766
408	8073	5744
409	8090	5722
410	8103	5697
411	8125	5679
412	8138	5655
413	8152	5631
414	8171	5611
415	8191	5592
416	8213	5574
417	8229	5552
418	8244	5529
419	8260	5507
420	8276	5485
421	8292	5462
422	8309	5441
423	8330	5422
424	8343	5398
425	8357	5375
426	8372	5352
427	8391	5333
428	8412	5314
429	8428	5292
430	8445	5271
431	8461	5249
432	8474	5225
433	8496	5207
434	8513	5186
435	8533	5167
436	8552	5147
437	8568	5125
438	8584	5104
439	8599	5081
440	8617	5061
441	8629	5037
442	8646	5015
443	8661	4994
444	8684	4976
445	8711	4960
446	8736	4944
447	8758	4926
448	8781	4909
449	8802	4890
450	8819	4869
451	8833	4846
452	8848	4824
453	8867	4804
454	8880	4781
455	8897	4761
456	8916	4741
457	8933	4720
458	8951	4700
459	8962	4676
460	8981	4656
461	8998	4635
462	9010	4612
463	9028	4592
464	9046	4571
465	9063	4550
466	9077	4528
467	9095	4508
468	9109	4486
469	9123	4464
470	9139	4443
471	9155	4422
472	9167	4399
473	9179	4376
474	9194	4355
475	9213	4335
476	9226	4313
477	9238	4290
478	9252	4268
479	9267	4247
480	9286	4228
481	9301	4206
482	9316	4185
483	9336	4166
484	9356	4147
485	9373	4127
486	9392	4107
487	9404	4085
488	9420	4065
489	9437	4044
490	9454	4024
491	9469	4003
492	9490	3984
493	9513	3967
494	9534	3948
495	9549	3927
496	9562	3905
497	9582	3886
498	9597	3865
499	9612	3845
500	9630	3825
501	9646	3804
502	9660	3783
503	9677	3763
504	9690	3741
505	9703	3720
506	9724	3701
507	9740	3681
508	9756	3661
509	9772	3640
510	9785	3619
511	9800	3598
512	9812	3576
513	9829	3557
514	9846	3537
515	9860	3516
516	9873	3494
517	9889	3474
518	9910	3456
519	9930	3437
520	9946	3417
521	9959	3396
522	9976	3376
523	9992	3356
524	10006	3335
525	10019	3314
526	10037	3294
527	10051	3274
528	10070	3255
529	10085	3235
530	10102	3215
531	10120	3196
532	10134	3175
533	10146	3154
534	10161	3134
535	10178	3114
536	10195	3094
537	10209	3074
538	10226	3054
539	10241	3034
540	10256	3014
541	10271	2994
542	10287	2974
543	10305	2955
544	10324	2936
545	10337	2915
546	10356	2896
547	10375	2877
548	10397	2859
549	10420	2841
550	10440	2823
551	10459	2804
552	10477	2785
553	10494	2765
554	10524	2749
555	10570	2737
556	10593	2719
557	10611	2700
558	10635	2682
559	10652	2663
560	10665	2642
561	10681	2622
562	10697	2603
563	10713	2583
564	10732	2564
565	10751	2545
566	10770	2526
567	10787	2507
568	10808	2488
569	10823	2468
570	10848	2450
571	10865	2431
572	10880	2411
573	10898	2392
574	10913	2372
575	10934	2354
576	10950	2334
577	10965	2314
578	10984	2295
579	10999	2275
580	11019	2256
581	11033	2236
582	11049	2217
583	11064	2197
584	11078	2177
585	11096	2158
586	11113	2139
587	11129	2119
588	11144	2100
589	11158	2080
590	11174	2061
591	11193	2042
592	11209	2022
593	11223	2002
594	11239	1983
595	11253	1963
596	11271	1944
597	11286	1925
598	11300	1905
599	11311	1885
600	11325	1865
601	11341	1846
602	11358	1827
603	11372	1807
604	11385	1787
605	11400	1768
606	11413	1748
607	11427	1729
608	11440	1709
609	11457	1690
610	11473	1671
611	11484	1651
