iter	RMSE
158	2.14691442
159	2.140178189
160	2.13630506
161	2.130421842
162	2.125396598
163	2.121337101
164	2.118173341
165	2.114903617
166	2.110201355
167	2.105295257
168	2.101104718
169	2.097462679
170	2.092310195
171	2.086371173
172	2.082254939
173	2.079298712
174	2.076599321
175	2.072976638
176	2.06860414
177	2.065167711
178	2.060953741
179	2.057971977
180	2.054678295
181	2.04992437
182	2.045614328
183	2.04116937
184	2.037081812
185	2.03389182
186	2.030501547
187	2.026643065
188	2.023400732
189	2.020113577
190	2.016436301
191	2.014172168
192	2.011368628
193	2.008312893
194	2.004660287
195	2.002327378
196	1.999960327
197	1.996686665
198	1.994217836
199	1.990223068
200	1.987542795
201	1.985276125
202	1.981947177
203	1.97965267
204	1.975269109
205	1.971460643
206	1.968584011
207	1.966256366
208	1.963138216
209	1.960020033
210	1.957493208
211	1.954257179
212	1.951349072
213	1.948533158
214	1.945760037
215	1.943064046
216	1.941127846
217	1.937504788
218	1.933655212
219	1.92992475
220	1.926678219
221	1.924095233
222	1.920742845
223	1.918384601
224	1.916047041
225	1.912523074
226	1.910544636
227	1.908340936
228	1.904736256
229	1.902719821
230	1.899287233
231	1.896174412
232	1.893799511
233	1.890997518
234	1.889101797
235	1.886456842
236	1.884009398
237	1.881231198
238	1.87854345
239	1.876517597
240	1.874257503
241	1.870056732
242	1.867845344
243	1.865129645
244	1.863600354
245	1.860237396
246	1.858396412
247	1.856241665
248	1.854164543
249	1.851894453
250	1.850029129
251	1.846988248
252	1.844708623
253	1.84299067
254	1.840333587
255	1.83816757
256	1.834196991
257	1.831977156
258	1.829567758
259	1.825842447
260	1.824040102
261	1.820627829
262	1.818888867
263	1.816393872
264	1.814852874
265	1.812895773
266	1.811028246
267	1.808437545
268	1.80591654
269	1.803718261
270	1.802218061
271	1.800761484
272	1.798677798
273	1.796040948
274	1.793583572
275	1.791166489
276	1.789976776
277	1.788340171
278	1.785617011
279	1.783647548
280	1.781639245
281	1.780043928
282	1.777752738
283	1.775873886
284	1.774354589
285	1.772100164
286	1.770826736
287	1.76879496
288	1.766846534
289	1.76455585
290	1.762400635
291	1.761398207
292	1.7593672
293	1.756946783
294	1.755124232
295	1.754021165
296	1.751607683
297	1.749666372
298	1.747689359
299	1.746249217
300	1.744643798
301	1.742997804
302	1.740938596
303	1.739880729
304	1.738269762
305	1.736935505
306	1.735667518
307	1.733343791
308	1.731569895
309	1.730084752
310	1.728532142
311	1.727197807
312	1.72555613
313	1.723467396
314	1.721926423
315	1.719957954
316	1.718748225
317	1.717111092
318	1.715840306
319	1.714777322
320	1.713217994
321	1.711309144
322	1.709808104
323	1.708137522
324	1.706604272
325	1.706010448
326	1.704995198
327	1.70355823
328	1.702558872
329	1.701566662
330	1.700096539
331	1.69866724
332	1.697221662
333	1.696259726
334	1.694571111
335	1.693176339
336	1.69137229
337	1.690135504
338	1.688009448
339	1.686632979
340	1.685599039
341	1.684434244
342	1.68310019
343	1.681493384
344	1.680932565
345	1.680019998
346	1.678661611
347	1.67678485
348	1.674996284
349	1.673827634
350	1.67238764
351	1.671052971
352	1.669928669
353	1.669039997
354	1.667730722
355	1.667029701
356	1.665288819
357	1.663984707
358	1.662663195
359	1.66000137
360	1.659122945
361	1.657687651
362	1.65622533
363	1.655092444
364	1.653756388
365	1.652957259
366	1.651825442
367	1.650917912
368	1.649802437
369	1.648952677
370	1.648008332
371	1.646618383
372	1.645224866
373	1.644296011
374	1.643328253
375	1.642725693
376	1.641864678
377	1.640188603
378	1.638971976
379	1.636831237
380	1.635792173
381	1.634268469
382	1.633467639
383	1.632570988
384	1.631473365
385	1.630491107
386	1.629639826
387	1.628722678
388	1.627621216
389	1.626362456
390	1.625356099
391	1.624734207
392	1.624001048
393	1.62295405
394	1.621656119
395	1.620566635
396	1.619731117
397	1.61842388
398	1.617358283
399	1.616575494
400	1.615784011
401	1.61460024
402	1.613433764
403	1.6127161
404	1.611110277
405	1.61019221
406	1.609318263
407	1.608502441
408	1.60781852
409	1.606984178
410	1.606057091
411	1.60528627
412	1.604138181
413	1.602815743
414	1.60201689
415	1.601403081
416	1.6008549
417	1.599639468
418	1.598923489
419	1.597881886
420	1.596974171
421	1.596089693
422	1.595586733
423	1.594548826
424	1.593434677
425	1.592627696
426	1.59179402
427	1.591185488
428	1.590105213
429	1.589142732
430	1.587767603
431	1.58672627
432	1.585938626
433	1.585139228
434	1.584514305
435	1.583535816
436	1.582483229
437	1.581626616
438	1.580528397
439	1.5797994
440	1.579167391
441	1.578479506
442	1.577455565
443	1.577070479
444	1.576279779
445	1.575466941
446	1.574595061
447	1.573883578
448	1.573077411
449	1.572185206
450	1.571312628
451	1.570215664
452	1.569170155
453	1.568422081
454	1.567473488
455	1.566361411
456	1.565600111
457	1.564665398
458	1.564191311
459	1.563521061
460	1.562595908
461	1.561648089
462	1.560677248
463	1.560005942
464	1.559289998
465	1.558540529
466	1.557994264
467	1.556949585
468	1.555801451
469	1.555006002
470	1.554074351
471	1.55357084
472	1.552838651
473	1.552113576
474	1.551440413
475	1.550578418
476	1.549747928
477	1.548799587
478	1.547994743
479	1.547329322
480	1.546641008
481	1.545678747
482	1.545186605
483	1.544385724
484	1.543975889
485	1.543462667
486	1.542777295
487	1.542055232
488	1.541328264
489	1.5406364
490	1.540026034
491	1.53944686
492	1.538719794
493	1.538107912
494	1.537185043
495	1.536774048
496	1.53611468
497	1.535261748
498	1.534498628
499	1.533985396
500	1.533298081
501	1.532550779
502	1.531624727
503	1.530773166
504	1.53009313
505	1.529214769
506	1.528736094
507	1.528254442
508	1.527575633
509	1.526710894
510	1.526024574
511	1.525156584
512	1.524818525
513	1.524010697
514	1.523392826
515	1.52268219
516	1.52195157
517	1.521339567
518	1.521030416
519	1.520300903
520	1.519441108
521	1.518530139
522	1.517573367
523	1.516909472
524	1.515979356
525	1.515279769
526	1.514730988
527	1.513862497
528	1.513258389
529	1.51268388
530	1.511537155
531	1.510629212
532	1.510177502
533	1.509458224
534	1.508931375
535	1.508151463
536	1.507696046
537	1.50689062
538	1.50633465
539	1.505747996
540	1.505103688
541	1.504526562
542	1.50397181
543	1.503481413
544	1.502769123
545	1.501872926
546	1.501209339
547	1.500583747
548	1.499862769
549	1.499405177
550	1.497938914
551	1.497476659
552	1.496682305
553	1.496175497
554	1.495534025
555	1.495096084
556	1.494592504
557	1.493994809
558	1.493584738
559	1.493205523
560	1.492492105
561	1.491793826
562	1.491121233
563	1.490455569
564	1.489817055
565	1.489287099
566	1.489078883
567	1.488681139
568	1.488132408
569	1.487487863
570	1.487014163
571	1.486530453
572	1.485820765
573	1.485064728
574	1.484569281
575	1.484022432
576	1.483598428
577	1.483193893
578	1.482319456
579	1.481606703
580	1.480761121
581	1.480335874
582	1.47969756
583	1.479131388
584	1.478495182
585	1.478037305
586	1.477378292
587	1.47683202
588	1.476435438
589	1.476064886
590	1.475488967
591	1.475170863
592	1.474607272
593	1.474112365
594	1.473326823
595	1.473033763
596	1.472298472
597	1.471619858
598	1.471108759
599	1.470538141
600	1.470096923
601	1.46956039
602	1.46898132
603	1.468511523
604	1.467978151
605	1.467435863
606	1.466574752
607	1.466208201
608	1.465817797
609	1.465126629
610	1.464850876
611	1.464336913
612	1.463525929
613	1.463053302
614	1.462491453
615	1.462209978
616	1.461588931
617	1.460877936
618	1.459835149
619	1.459319817
620	1.45860389
621	1.457811272
622	1.457435537
623	1.457047706
624	1.45641376
625	1.455831411
626	1.455231632
627	1.454688575
628	1.454258873
629	1.453881551
630	1.453332275
631	1.452458654
632	1.451825826
633	1.451445823
634	1.451358274
635	1.450903411
636	1.450404521
637	1.449785273
638	1.449508878
639	1.44891947
640	1.448398933
641	1.448293788
642	1.447819962
643	1.447363213
644	1.44727509
645	1.446945985
646	1.446827814
647	1.446367675
648	1.445630075
649	1.445094854
650	1.444876247
651	1.444677756
652	1.444552604
653	1.444311597
654	1.443930807
655	1.443635944
656	1.4430832
657	1.442583271
658	1.44212731
659	1.441457239
660	1.44115783
661	1.440756122
662	1.440440769
663	1.440143484
664	1.439780352
665	1.439139234
666	1.438841896
667	1.438412284
668	1.438219122
669	1.437803227
670	1.437517949
671	1.437315026
672	1.436735488
673	1.436496461
674	1.43554591
675	1.435205513
676	1.434725331
677	1.434664008
678	1.434363642
679	1.433976297
680	1.4336244
681	1.433171005
682	1.432635218
683	1.432307531
684	1.432068339
685	1.43205722
686	1.431844033
687	1.431345426
688	1.431028397
689	1.430675817
690	1.430169641
691	1.429522144
692	1.429311962
693	1.428722922
694	1.428083504
695	1.427655295
696	1.426866574
697	1.426764184
698	1.426365631
699	1.42600999
